,VALOR_FATURA
25170,63.88
55124,3068.2
57241,10572.73
63810,144.03
52989,27.83
4409,707.23
57160,1020.72
61256,108.57
32408,47.38
34693,54.66
45913,71.21
65452,23230.91
10247,59.77
22252,116.62
8771,13239.51
8264,37.58
63726,773.2
65622,2805.23
44386,128.82
29250,49.79
20067,327.95
5385,27.98
44402,47.7
11975,71.28
51263,836.0
117,1091.72
47749,704.82
16208,926.55
61632,1995.17
347,437.67
57948,68.22
40964,19.76
21349,520.27
32574,1618.23
27939,3764.91
31246,6542.32
50759,4682.2
14167,28.0
8736,420.75
60253,10211.19
11828,61.77
6486,31.83
11240,3578.92
13823,279.77
43632,2289.23
32168,2371.39
49495,55.92
6304,3073.74
23282,748.48
49138,4711.56
32470,2971.66
2509,176.09
57947,17610.86
1267,2997.03
46078,5385.0
4914,2773.6
38923,1154.07
55724,70.95
40443,281.28
56424,11652.29
51701,27.82
1800,866.49
10932,2957.62
45850,311.54
60069,600.26
35216,31.44
29442,5107.36
2448,31.42
28081,314.21
49242,27.95
9956,101.89
15205,827.64
35028,27.2
64327,2179.51
17200,5659.54
63820,691.07
488,1225.92
44171,4524.01
31911,1065.71
49059,85.79
25259,16529.79
53971,172.07
52918,36.41
8916,43.07
64256,55.98
48816,27.83
39079,30.83
40008,34070.6
54495,836.04
64910,108.66
40186,801.11
798,48.67
4595,684.02
11760,2796.66
49921,8765.44
44390,294.63
53957,1527.95
815,24.24
311,71.23
63764,2455.21
37616,317.58
3032,5080.1
36743,53.64
23863,28.06
35747,1358.22
50042,1824.32
3249,24.24
21947,4950.36
20343,767.16
38369,240.97
10938,1814.96
8728,189.5
31047,173.66
50164,78.33
51440,425.95
22592,141.44
31077,910.57
17597,203.97
60894,1690.2
53391,27.86
26768,2047.98
63006,27.82
207,2199.77
35421,668.23
17991,55.24
34273,31.32
8662,3316.64
11945,136.86
22628,11266.71
40202,2766.38
38578,1639.72
38089,11251.51
25064,295.3
23929,32.39
49379,7279.33
30100,1211.3
12538,48.55
48764,5469.67
699,3968.47
56255,3042.03
3097,404.24
18242,828.09
8314,28.0
20173,299.3
19408,43.21
19014,354.77
58061,12931.17
63963,4300.99
20104,8689.88
59719,62.2
34547,7223.91
50046,1477.64
56939,36.49
42941,125.63
20142,2213.61
29959,82.31
15167,59.94
10862,104.05
20901,827.39
3062,24.91
6311,726.77
3291,1691.07
64943,581.8
35996,27.2
16492,24.24
49984,75.05
8533,4009.18
22207,39.26
14535,42.18
19042,176.55
28885,109.36
19362,28.0
26122,32.39
29377,191.91
52565,157.13
35745,92.91
42396,252.16
3880,28.0
28918,9882.63
50979,6115.68
18266,189.68
32821,1507.97
20826,1451.2
37898,136.22
27716,56.34
16752,3966.0
32700,30.83
18180,1871.48
26463,56.35
12549,388.03
16705,869.61
6172,86.27
3066,43.07
4173,2471.54
51220,349.38
54296,28927.91
29324,8301.13
25357,32.37
45797,1018.34
37148,335.34
46755,31.89
27170,117.33
24882,579.38
31665,1397.48
30607,26.7
3193,24.24
57189,616.64
48883,995.88
8319,35.52
4145,2514.38
8494,924.57
25119,151.99
53941,2842.33
28480,6491.17
1324,139.25
22826,48.03
53161,4706.95
3481,104.83
17327,79.25
50053,7270.96
32011,43.45
941,420.94
53938,1112.83
43822,366.09
29307,188.64
38940,739.99
4351,4244.71
58622,8750.17
58895,32.15
6965,2493.49
44445,692.86
48352,4220.0
13430,827.59
39499,9561.15
46220,27.82
34844,3579.52
13310,394.25
15944,104.25
30945,78.24
21125,251.05
36433,46.66
27107,980.15
3287,272.63
4106,59.94
46495,55.88
14792,4882.05
33232,26.7
45138,26.78
28079,4913.4
14450,510.18
36147,75.2
38220,3260.3
57749,98.92
4004,24.24
2230,39.22
18420,24.24
24939,28.08
47921,85.83
39198,299.31
33870,1728.47
56913,48.41
44689,764.24
57253,107.98
46959,32.07
38097,30.83
10169,35.69
28254,4747.85
63653,295.27
49112,232.45
233,42.18
46393,1055.01
1384,3779.59
43679,61.64
11053,48.73
26504,219.09
35927,399.53
15188,54.24
44947,481.38
25332,120.47
56469,974.34
5035,242.18
22354,30.27
55821,143.96
23359,1008.15
30838,111.68
49815,6091.32
46824,404.72
33673,372.31
39260,308.48
50290,56.32
43489,53.64
53082,48.42
25497,32.37
17576,137.49
31461,46.47
58197,2979.71
56835,120.42
34895,61.98
53435,5277.86
49902,996.28
42427,1684.83
33314,251.83
15554,6820.95
46225,56.64
36395,5893.82
64177,28.09
54015,11060.64
37991,1861.31
42747,426.95
28371,2001.16
43560,572.92
44373,869.99
33396,2148.88
37929,1242.72
18973,55.24
53342,172.54
7052,17.94
24579,27.5
49810,2629.97
18876,2597.6
33572,26.7
44103,5558.95
37402,2171.31
1458,1230.1
36238,977.18
26014,2372.49
25634,2766.22
53976,165.31
27028,131.82
24740,55.49
36542,60.88
24686,27.64
40209,2900.61
33197,1861.6
62715,3084.7
3722,59.96
17824,48.71
24398,2796.77
24225,8286.01
57504,2316.65
38428,16943.86
44669,48.91
62694,32.11
20151,1249.12
39844,35.05
10983,20439.11
13490,24.24
40494,1176.15
12676,54.32
36381,9743.81
60258,4631.38
9070,1569.2
29183,333.54
17919,4884.08
52789,8851.65
4896,3715.28
36855,68.01
50764,32.11
42147,7766.89
29772,3233.07
50945,133.44
26878,3511.6
16583,4302.56
44978,1110.16
60841,572.68
46496,332.32
21207,27.98
15329,242.08
61040,289.61
29011,6360.11
41106,1530.15
17686,2493.44
38382,408.94
19569,48.69
22784,24.97
29641,2405.88
