ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
2023,9,3,2126.87,2259.47
2022,8,3,28.49,2604.79
2022,5,2,5772.68,6721.53
2023,2,1,48.59,670.85
2024,3,1,47.7,53.48
2022,9,3,1294.52,232.83
2023,3,1,487.95,625.59
2023,6,2,6844.29,6735.04
2022,4,2,727.26,553.82
2022,4,2,1450.99,1751.5
2024,4,2,124.16,120.0
2022,10,4,321.88,767.1
2023,7,3,32.39,32.39
2023,4,2,28.04,26.2
2023,8,3,845.03,887.62
2023,7,3,63.88,71.43
2023,12,4,27.07,27.09
2023,12,4,5038.57,4208.4
2023,7,3,28.04,32.37
2024,9,3,27.82,27.82
2024,12,4,100.68,92.11
2022,7,3,1972.39,446.22
2024,7,3,119.38,96.97
2024,7,3,27.85,36.43
2023,12,4,30.83,34.95
2022,7,3,39.2,28.0
2022,9,3,10421.63,15393.71
2024,5,2,7041.03,9801.47
2024,1,1,31.02,103.32
2022,9,3,777.82,2387.17
2024,4,2,742.68,105.95
2023,4,2,45.44,42.03
2024,9,3,928.31,836.04
2023,11,4,218.15,624.55
2024,12,4,4479.73,3186.85
2023,1,1,28.0,27.98
2023,1,1,4199.81,8420.77
2023,1,1,2815.91,3116.84
2022,8,3,114.1,163.22
2023,2,1,113.81,124.03
2023,2,1,223.17,242.37
2024,6,2,2441.72,2004.32
2023,4,2,63.51,49.68
2024,3,1,1068.95,667.87
2022,11,4,55.22,48.73
2023,4,2,27.38,31.74
2024,5,2,262.6,48.88
2023,9,3,933.57,977.78
2023,5,2,333.58,279.96
2023,8,3,3496.16,3857.9
2023,5,2,264.9,203.28
2022,10,4,48.69,42.18
2022,10,4,74.85,62.22
2023,11,4,1273.8,1575.91
2022,9,3,24.56,24.28
2023,9,3,3452.89,3254.11
2022,6,2,31.88,48.65
2023,7,3,1514.08,1398.49
2022,8,3,354.47,202.56
2024,12,4,4963.36,3420.32
2023,8,3,136.22,143.11
2024,2,1,738.03,4496.08
2023,10,4,943.23,689.7
2022,4,2,10082.84,12085.46
2022,7,3,4647.78,4080.21
2023,7,3,48.82,48.82
2023,10,4,77.19,108.51
2024,1,1,31.9,30.84
2022,12,4,24.26,24.24
2023,7,3,28.46,152.39
2024,3,1,305.29,150.72
2023,3,1,361.69,327.95
2024,4,2,55.82,53.89
2023,11,4,1109.86,1260.49
2023,11,4,4119.69,3993.29
2022,6,2,1148.75,1369.89
2024,5,2,27.91,27.85
2023,6,2,725.09,748.4
2022,11,4,35.65,54.16
2024,3,1,977.39,1087.89
2024,2,1,82.4,93.13
2023,7,3,56.35,56.35
2024,1,1,39.06,39.11
2024,1,1,128.34,128.34
2022,10,4,255.35,321.63
2022,10,4,42.8,42.18
2023,8,3,976.74,203.72
2022,5,2,27.98,31.72
2024,7,3,558.59,856.26
2023,5,2,640.2,158.57
2023,4,2,2540.77,576.99
2022,7,3,4135.53,3345.03
2024,7,3,202.25,247.46
2024,9,3,2054.85,877.89
2024,2,1,1084.86,2912.64
2023,2,1,54.35,24.41
2023,7,3,1049.83,1467.49
2022,7,3,42.94,35.48
2024,5,2,3803.43,4955.6
2023,4,2,56.35,52.11
2024,8,3,36.48,36.43
2022,10,4,242.23,204.07
2024,4,2,598.66,2791.06
2024,2,1,114.72,114.8
2023,12,4,6147.1,6476.69
2023,4,2,748.46,833.19
2023,10,4,90.34,100.2
2023,5,2,1282.06,748.46
2022,8,3,24.26,28.08
2024,9,3,654.92,1088.67
2024,1,1,6651.84,7847.1
2024,10,4,32.15,32.15
2024,12,4,55.72,27.82
2022,7,3,8499.71,10053.29
2023,10,4,54.85,391.23
2024,1,1,408.83,104.47
2024,10,4,62.59,27.99
2024,2,1,30.83,30.83
2022,11,4,1892.25,1872.29
2022,9,3,42.18,48.69
2023,7,3,391.2,429.42
2023,3,1,1161.21,31.72
2023,11,4,30.83,31.41
2023,11,4,34.95,31.41
2023,3,1,53.25,437.74
2024,12,4,279.42,263.26
2024,2,1,104.27,354.05
2022,10,4,86.09,27.98
2023,3,1,298.23,229.12
2024,3,1,194.14,208.58
2023,2,1,5423.29,1149.82
2022,11,4,27.98,86.09
2023,11,4,34.97,35.53
2024,5,2,27.82,27.75
2024,7,3,3366.86,2975.76
2024,2,1,26.69,39.27
2023,12,4,119.89,144.81
2023,7,3,2374.11,2351.07
2024,7,3,32.11,32.11
2024,1,1,1728.96,1662.81
2022,7,3,3216.43,3134.69
2022,8,3,1269.25,1109.16
2024,4,2,5251.0,4715.65
2022,11,4,1008.42,727.22
2024,5,2,2996.92,311.99
2022,8,3,7406.92,11277.17
2022,10,4,24.24,39.2
2023,10,4,2175.67,2414.31
2024,3,1,446.93,208.63
2024,4,2,597.77,713.78
2023,2,1,39.2,86.15
2024,8,3,39379.07,41713.33
2024,3,1,243.98,372.46
2024,7,3,232.47,277.68
2022,12,4,1148.69,1750.37
2023,3,1,2332.28,5450.78
2024,11,4,356.47,355.92
2023,8,3,26.76,45.44
2023,9,3,11641.03,10081.3
2024,6,2,36.4,36.43
2024,6,2,5432.43,4812.03
2024,6,2,1042.18,2445.98
2023,3,1,933.38,787.07
2023,12,4,30.83,26.72
2022,5,2,31.72,24.28
2023,11,4,103.84,76.65
2022,6,2,7393.0,14749.62
2024,12,4,71.12,717.01
2022,4,2,24.24,24.24
2023,3,1,35.02,31.78
2024,12,4,2341.77,3281.08
2022,6,2,42.18,6223.22
2023,7,3,9692.07,10420.68
2024,8,3,8238.14,6928.73
2024,12,4,976.42,1042.93
2023,10,4,51.38,486.27
2023,8,3,249.53,234.43
2024,5,2,63.37,63.37
2023,3,1,19.69,17.94
2023,9,3,4068.15,4092.09
2023,7,3,188.86,333.4
2022,12,4,104.29,150.07
2024,1,1,350.39,308.48
2022,4,2,24.24,24.24
2023,5,2,169.51,76.01
2024,6,2,787.9,902.89
2024,4,2,1616.94,12380.07
2023,2,1,146.88,146.48
2022,9,3,176.4,150.04
2024,4,2,699.64,2422.63
2023,12,4,511.3,473.15
2023,2,1,2572.02,687.03
2023,5,2,620.96,512.68
2024,9,3,539.29,202.13
2023,5,2,28.06,31.61
2023,3,1,369.86,383.69
2022,7,3,94.37,84.56
2023,9,3,3142.77,1771.5
2022,9,3,1209.13,1410.26
2024,3,1,27926.56,62637.47
2023,8,3,2480.25,2605.34
2024,4,2,32.14,35.89
2022,7,3,42.18,42.53
2024,5,2,63.44,96.38
2023,9,3,30.83,30.83
2024,1,1,999.71,1330.9
2023,5,2,36.76,35.96
2022,8,3,5185.65,2476.66
2023,3,1,43.16,48.57
2024,12,4,11042.43,11872.64
2024,12,4,159.69,133.48
2022,10,4,2638.31,1212.43
2023,2,1,94.4,94.43
2024,10,4,32.28,49.46
2022,10,4,55.22,48.73
2023,9,3,353.93,249.68
2022,4,2,42.18,242.27
2024,4,2,130.76,128.88
2024,7,3,98.8,75.25
2022,8,3,1469.63,1068.59
2024,5,2,4412.29,4105.52
2022,4,2,1510.85,3697.07
2023,1,1,255.5,242.29
2023,2,1,48.71,48.73
2024,9,3,11379.47,8158.77
2022,10,4,18196.02,16947.53
2022,11,4,42.18,42.2
2024,5,2,834.1,788.08
2024,1,1,34.97,53.51
2023,4,2,131.82,131.1
2023,2,1,24.26,24.24
2022,6,2,242.25,272.05
2023,2,1,123.68,104.14
2022,9,3,767.53,746.89
2022,4,2,2597.28,2216.84
2022,12,4,553.57,626.49
2023,9,3,59.78,65.96
2022,6,2,60605.63,58042.59
2023,2,1,28.04,27.98
2023,5,2,771.32,601.93
2024,11,4,4364.15,3283.11
2022,10,4,3400.14,6018.88
2022,8,3,139.3,175.43
2024,6,2,62.18,27.83
2024,9,3,1575.52,1872.59
2022,12,4,24.24,24.24
2024,2,1,66.14,72.15
2022,7,3,2392.38,2091.22
2023,9,3,60.84,63.91
2024,10,4,2403.58,2113.39
2022,4,2,662.2,4126.94
2024,9,3,32.11,44.6
2023,3,1,1211.59,2335.17
2024,11,4,277.19,27.82
2022,6,2,2173.49,2550.97
2023,10,4,657.59,609.26
2022,7,3,17.94,17.94
2022,4,2,606.64,686.93
2024,1,1,182.37,203.37
2023,10,4,528.56,554.62
2024,9,3,32.15,27.86
2023,7,3,1420.92,1375.81
2022,10,4,86.09,86.11
2023,7,3,32.39,32.39
2022,5,2,567.52,60.73
2023,12,4,39.11,53.55
2024,12,4,56.27,62.38
2024,11,4,27.86,36.44
2023,5,2,2583.14,2560.1
2024,6,2,85.78,78.33
2024,1,1,30.88,39.06
2023,11,4,47.38,48.48
