ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
2024,5,2,811.11,828.45
2024,8,3,32.15,32.12
2024,7,3,4952.19,4760.26
2024,12,4,2088.95,2357.92
2024,2,1,302.14,2714.83
2024,1,1,2192.95,2353.9
2024,7,3,48.41,48.5
2024,11,4,68.6,81.48
2023,5,2,32.39,31.76
2024,1,1,136.93,778.46
2024,7,3,6284.38,7024.11
2022,4,2,3758.45,3028.48
2022,6,2,1068.65,1168.66
2024,10,4,7187.63,7459.46
2024,12,4,143.93,543.28
2022,7,3,2303.98,1895.45
2023,9,3,3782.43,83.25
2023,4,2,188.24,185.11
2024,5,2,133.71,133.71
2022,11,4,5566.89,4648.85
2024,12,4,2357.78,22419.0
2023,3,1,74.5,48.71
2023,7,3,710.89,697.44
2024,2,1,319.06,350.41
2022,10,4,487.42,503.81
2022,10,4,24.24,24.32
2023,1,1,7342.75,11820.08
2022,5,2,1169.13,1157.74
2024,6,2,45.0,40.75
2023,4,2,99.39,86.32
2023,8,3,143.25,143.13
2022,7,3,2072.77,2172.67
2023,5,2,11021.84,2978.48
2023,6,2,1832.49,2005.59
2024,4,2,596.77,563.97
2022,7,3,4602.51,4294.95
2023,4,2,48.86,70.39
2022,12,4,42.18,42.18
2024,3,1,48.3,47.36
2023,6,2,21334.72,23433.73
2022,11,4,109.03,109.35
2024,7,3,6415.12,5764.97
2024,2,1,591.13,627.56
2024,10,4,15534.51,13939.36
2024,3,1,31.61,30.83
2023,7,3,161.1,152.37
2024,7,3,925.61,444.32
2024,8,3,2892.52,2191.17
2022,8,3,1610.64,2192.48
2024,4,2,3067.94,3120.97
2023,2,1,4082.37,3279.44
2024,3,1,3209.46,2812.24
2022,12,4,470.67,371.16
2022,7,3,371.53,471.41
2022,4,2,74.87,74.85
2022,6,2,471.41,471.6
2024,3,1,665.28,3762.91
2022,5,2,767.0,354.88
2024,12,4,28.0,36.4
2024,12,4,25526.55,924.21
2023,2,1,787.87,1008.1
2022,11,4,47.25,36.03
2024,9,3,3688.96,3721.42
2023,11,4,2038.94,2267.6
2022,12,4,176.33,304.84
2024,3,1,35.68,30.83
2022,9,3,24.24,24.24
2024,8,3,49.48,49.37
2024,6,2,49.29,29.33
2023,10,4,1040.07,999.35
2022,4,2,338.21,338.3
2024,10,4,1181.08,1158.17
2023,2,1,216.05,305.81
2024,9,3,636.0,597.59
2022,9,3,207.39,104.07
2022,7,3,27.98,24.24
2024,7,3,44.99,55.72
2022,9,3,6885.58,15185.62
2023,5,2,563.22,383.72
2022,8,3,156.96,166.38
2022,6,2,6417.33,7217.74
2024,11,4,232.63,232.91
2023,2,1,2756.8,3399.32
2023,2,1,2416.58,2834.26
2024,12,4,2035.17,1550.37
2023,6,2,34315.38,31178.71
2024,4,2,202.32,139.75
2023,1,1,24.24,24.24
2024,2,1,30.82,26.69
2023,2,1,24.62,24.83
2023,1,1,6205.29,5636.98
2023,8,3,5103.31,5485.84
2023,1,1,229.26,647.01
2024,2,1,26.69,26.69
2024,4,2,113.03,120.24
2024,12,4,5477.42,4987.93
2024,2,1,2016.07,2944.56
2024,4,2,463.48,50.61
2022,7,3,55.2,61.82
2023,11,4,2639.78,2259.95
2023,12,4,30.83,30.83
2024,10,4,1709.1,49.41
2023,3,1,4317.37,1973.32
2023,12,4,1132.16,999.54
2024,7,3,10088.83,41.72
2022,8,3,17.94,17.94
2022,9,3,10694.79,11353.23
2024,10,4,36.4,27.82
2022,8,3,4671.47,2875.48
2022,10,4,146.73,166.06
2022,6,2,1811.24,1871.35
2022,4,2,3012.88,2832.27
2023,9,3,1769.24,1883.55
2024,11,4,108.61,119.76
2023,5,2,86.57,86.56
2023,7,3,28.16,56.32
2022,9,3,271.91,338.08
2024,3,1,105.75,933.28
2024,5,2,49.48,81.35
2024,7,3,1801.7,1825.11
2022,10,4,1229.36,1749.29
2024,5,2,124.85,125.0
2022,11,4,973.22,1224.71
2023,11,4,4208.4,3072.76
2024,6,2,5613.1,99.04
2022,6,2,387.12,734.98
2023,10,4,2587.72,2591.17
2024,3,1,373.18,150.84
2023,8,3,462.91,1281.52
2022,12,4,7031.94,6819.85
2024,3,1,1386.46,2884.65
2023,5,2,24599.01,22089.47
2024,6,2,5521.89,5522.15
2022,7,3,48.69,42.2
2023,4,2,1448.56,5830.95
2023,11,4,136.69,29.8
2024,5,2,5113.72,1732.3
2024,3,1,35.65,34.95
2022,8,3,5238.16,4370.57
2023,12,4,778.46,800.63
2024,6,2,142.63,63.46
2024,11,4,36.4,49.29
2022,4,2,1977.67,2127.24
2022,12,4,136.89,123.81
2024,4,2,616.08,1651.74
2024,7,3,6140.68,10912.03
2022,11,4,40.06,252.75
2022,11,4,1478.38,425.51
2023,6,2,36.74,36.74
2023,3,1,46.53,35.56
2022,7,3,176.3,150.0
2023,6,2,41.1,41.14
2023,3,1,2114.2,2454.36
2024,4,2,2422.93,2351.78
2023,6,2,32.39,32.39
2022,4,2,24.24,24.24
2023,7,3,3209.13,4114.38
2024,4,2,48.22,53.64
2024,3,1,451.81,223.26
2022,7,3,24.6,24.56
2024,7,3,1110.09,277.35
2022,8,3,2132.08,2534.28
2024,4,2,3398.01,3279.31
2024,12,4,86.07,78.31
2024,11,4,985.28,985.05
2023,12,4,4285.0,2768.05
2023,5,2,1607.16,1142.8
2024,6,2,108.14,130.68
2023,12,4,162.1,88.65
2024,12,4,9067.05,8567.52
2023,7,3,4278.08,3813.92
2023,1,1,3377.3,2254.04
2023,5,2,3229.62,53.02
2022,7,3,24.24,24.24
2022,4,2,93.93,101.5
2022,7,3,1108.58,847.78
2022,4,2,948.21,826.68
2023,7,3,640.31,678.76
2022,12,4,928.24,1229.11
2023,4,2,19414.88,18145.21
2022,7,3,24.24,24.26
2024,9,3,131.08,71.26
2024,11,4,32.15,32.15
2024,9,3,559.82,539.76
2024,1,1,4457.44,4446.01
2023,6,2,563.53,1141.96
2024,2,1,26.69,26.7
2022,6,2,42.18,42.18
2022,9,3,1471.31,1450.78
2022,6,2,1729.99,1690.13
2023,8,3,609.52,771.17
2022,9,3,17.94,17.94
2022,9,3,189.55,176.64
2022,4,2,17.94,17.94
2024,2,1,36223.68,1080.05
2023,3,1,45.52,28.0
2024,6,2,16044.92,3458.04
2024,3,1,95.63,53.65
2022,10,4,421.01,420.95
2024,3,1,590.34,1463.34
2024,9,3,455.94,407.51
2023,9,3,2320.4,2082.77
2024,11,4,1413.82,2498.3
2023,9,3,39.11,39.09
2024,5,2,73.04,2501.77
2022,11,4,3034.82,1811.42
2022,10,4,1551.57,2294.42
2023,7,3,621.08,563.64
2022,9,3,5590.12,2915.21
2022,5,2,24.24,24.24
2023,1,1,807.31,2472.11
2024,7,3,4817.0,4309.77
2022,5,2,1951.54,1852.44
2022,4,2,24.24,24.28
2024,6,2,78.26,78.31
2023,11,4,1045.11,1071.35
2024,9,3,2219.18,1896.64
2022,9,3,24.24,24.24
2023,10,4,31.44,26.7
2023,6,2,69.39,108.56
2024,11,4,263.58,719.77
2024,4,2,2148.33,2357.68
2022,11,4,1489.12,1561.64
2024,4,2,49.36,48.43
2024,11,4,36.49,36.4
2022,8,3,1360.9,1642.87
2022,5,2,1710.33,1068.7
2022,12,4,487.25,847.06
2023,11,4,4754.91,3660.4
2022,6,2,123.77,123.75
2022,8,3,54.42,86.26
2022,12,4,55.28,61.71
2024,9,3,55.93,49.48
2022,11,4,666.48,304.95
2023,8,3,6210.02,1516.51
2023,6,2,36.72,32.39
2022,11,4,136.94,137.07
2024,4,2,6066.65,8754.33
2022,8,3,3458.29,4058.5
2022,5,2,28.0,28.0
2023,2,1,43.17,1027.83
2022,8,3,3166.12,5142.36
2023,4,2,12613.68,11406.64
2022,5,2,24.26,24.24
2024,10,4,2196.7,2426.65
2024,4,2,247.49,610.75
2024,2,1,75.13,68.26
2024,2,1,9208.95,9352.49
2024,10,4,1112.2,1112.38
2023,4,2,314.4,256.57
2024,3,1,2642.47,2370.38
2022,10,4,2534.94,5590.12
2023,11,4,53.63,47.65
2022,8,3,907.47,1087.53
2024,2,1,46.46,60.82
2023,6,2,1282.07,1235.46
2024,1,1,39.11,39.11
2022,10,4,104.48,49.16
2023,12,4,194.07,114.74
2024,10,4,55.93,49.63
2024,6,2,12646.43,74.4
2022,9,3,31.76,31.76
2023,3,1,34.01,156.35
2022,9,3,5430.72,8187.86
2023,6,2,3000.97,3372.14
2022,5,2,42.18,42.18
2022,10,4,1987.14,1296.63
2023,6,2,524.96,505.54
2024,2,1,573.11,627.64
2023,4,2,28.06,30.58
2023,3,1,45.19,48.69
2024,9,3,485.08,597.65
2022,6,2,1169.35,1028.34
2024,2,1,3497.69,3895.18
2024,4,2,876.95,1220.53
2023,7,3,11546.1,9063.62
2022,12,4,48.71,42.18
2024,12,4,333.15,248.36
2024,11,4,1322.68,89.64
2022,6,2,42.18,42.18
2023,6,2,152.39,180.82
2023,9,3,26.69,26.69
2024,12,4,2960.93,3602.84
2024,8,3,3826.05,233.58
2022,10,4,355.03,421.15
2023,9,3,138.06,85.2
2024,8,3,55.92,55.88
2024,7,3,48.54,48.41
2024,7,3,3344.21,2631.27
2024,2,1,39.78,47.3
2022,9,3,48.69,42.2
2023,3,1,48.92,48.69
2024,11,4,71.12,63.44
2024,5,2,720.46,860.48
2022,9,3,354.69,354.73
2023,6,2,28.04,28.04
2024,1,1,1375.73,1663.19
2022,5,2,6585.14,2981.21
2024,4,2,886.99,950.08
2022,10,4,3847.84,6396.51
2024,7,3,217.38,262.64
2023,7,3,53.41,3860.36
2024,11,4,152.92,140.91
2024,6,2,63.35,70.81
2022,7,3,93.72,124.11
2023,10,4,1650.5,1771.92
2024,11,4,55.92,55.87
2023,8,3,26.72,36.74
2023,6,2,1952.71,2152.37
2022,8,3,4881.14,1310.92
2024,10,4,1066.39,1043.12
2022,11,4,163.42,189.47
2023,10,4,3960.65,3165.24
2022,7,3,24.24,24.24
2022,11,4,48.68,24.37
2024,12,4,1116.01,1089.54
2024,3,1,31.84,27.48
2023,3,1,812.5,4909.33
2024,11,4,11755.17,5202.36
2024,2,1,9710.85,6670.2
2024,11,4,49.49,55.93
2024,9,3,8025.6,8210.88
2024,5,2,2377.12,1428.7
2022,8,3,937.91,834.24
2024,7,3,14569.76,18246.65
2023,8,3,3121.04,2397.24
2022,10,4,521.04,28.0
2022,6,2,24.24,24.24
2024,12,4,32.2,32.11
2022,12,4,251.29,289.65
2024,2,1,1397.3,4465.99
2022,11,4,1598.8,1449.45
2023,8,3,213.84,224.89
2022,4,2,176.71,404.5
2023,3,1,225.29,75.11
2023,7,3,264.81,249.69
2022,5,2,24.26,24.26
2022,4,2,251.69,242.18
2023,7,3,79.0,79.01
2023,8,3,165.17,49.06
2022,8,3,48.71,42.22
2024,12,4,619.23,598.16
2022,12,4,1307.77,27.4
2022,4,2,48.69,42.18
2023,11,4,1005.87,238.84
2022,10,4,1209.84,1510.05
2022,8,3,150.04,176.3
2022,10,4,968.2,1128.76
2023,10,4,54.38,43.23
2023,1,1,24.24,24.24
2023,8,3,4468.08,4278.08
2024,10,4,634.67,142.29
2023,6,2,7285.05,7751.22
2023,7,3,817.65,701.1
2023,11,4,1087.24,323.29
2022,5,2,1811.82,638.52
2024,4,2,40.46,39.11
2022,8,3,359.67,25.46
2022,6,2,203.92,348.81
2023,10,4,1598.94,1728.47
2022,12,4,726.44,1250.1
2022,5,2,24.24,24.24
2023,8,3,237.58,234.47
2023,8,3,34.99,36.8
2024,5,2,2215.89,189.4
2022,11,4,11040.29,4983.24
2024,5,2,2766.84,1410.51
2023,11,4,67.97,61.98
2022,12,4,24.24,24.24
2023,11,4,150.68,183.45
2023,6,2,158.31,109.29
2024,7,3,48.48,48.46
2023,7,3,45.48,45.47
2023,2,1,9943.83,14656.0
2022,12,4,139.28,24.26
2022,7,3,6016.9,7405.42
2023,1,1,1490.54,2031.7
2022,12,4,17.94,17.94
2023,5,2,41.14,40.84
2024,10,4,36.98,40.92
2023,7,3,41.09,41.1
2023,11,4,31.02,95.63
2023,10,4,32858.49,38931.11
2023,2,1,1553.2,3113.7
2022,4,2,24.24,18.36
2024,11,4,133.48,32.15
2024,3,1,7294.33,5690.4
2024,4,2,142.41,54.14
2022,12,4,4437.74,6157.48
2022,11,4,2372.61,2775.59
2023,2,1,24.72,48.63
2023,6,2,48.84,48.88
2022,5,2,3715.33,471.53
2024,5,2,5115.71,3025.22
2022,8,3,568.55,591.67
2022,12,4,24.24,123.82
2023,11,4,1181.94,813.56
2024,6,2,1882.51,1225.47
2022,11,4,608.22,847.78
2023,1,1,42.99,3013.11
2024,8,3,1296.47,2330.34
2024,2,1,524.04,600.16
2023,10,4,121.44,144.86
2023,4,2,78.16,61.77
2024,1,1,588.24,28.46
2022,11,4,747.29,687.0
2022,6,2,1168.56,1007.92
2023,1,1,48.69,42.18
2022,7,3,48.73,48.74
2022,9,3,849.3,1669.67
2023,1,1,213.95,318.63
2022,8,3,2874.35,2635.47
2024,7,3,49.21,1019.16
2022,11,4,1428.67,1168.18
2023,11,4,8418.51,9030.97
2022,10,4,6988.09,9627.22
2023,7,3,764.1,657.51
2023,11,4,26.79,66.96
2023,2,1,1803.36,1641.86
2023,3,1,6510.46,113.79
2023,1,1,11420.29,11044.43
2023,4,2,31.93,27.98
2024,5,2,277.51,85.88
2022,8,3,968.69,1109.03
2024,10,4,6096.21,6797.53
2022,5,2,5399.62,1249.13
2023,6,2,486.94,563.66
2024,6,2,444.61,130.94
2022,8,3,9675.36,5268.31
2023,1,1,43.02,43.05
2023,4,2,234.76,237.33
2024,2,1,30.83,30.83
2024,6,2,4385.03,4059.04
2024,7,3,5658.19,4516.71
2024,7,3,2469.82,2975.96
2024,1,1,1375.45,1265.05
2023,5,2,12303.09,12062.88
2024,11,4,187.75,202.55
2022,11,4,4247.48,4482.82
2022,12,4,421.1,487.65
2024,11,4,3034.49,1991.67
2022,10,4,131.69,124.14
2022,10,4,967.54,570.16
2023,6,2,864.34,468.22
2024,12,4,27.82,32.32
2024,3,1,77.49,75.27
2022,11,4,94.43,55.2
2024,8,3,5120.57,3021.29
2023,12,4,26.69,26.69
2024,12,4,63.56,63.44
2024,8,3,5882.39,6307.2
2024,8,3,6059.21,5089.1
2023,9,3,136.28,150.59
2022,11,4,1289.52,1131.53
2023,9,3,2480.62,2559.13
2023,8,3,35.47,42.82
2024,11,4,32.15,32.15
2024,9,3,55.92,71.0
2023,6,2,333.3,352.24
2024,5,2,1019.66,4872.88
2022,5,2,1590.89,1590.64
2024,6,2,63.34,63.35
2022,4,2,31.78,35.52
2023,3,1,61.89,123.68
2022,10,4,1400.36,1064.67
2022,5,2,2032.31,1851.89
2023,8,3,408.38,143.16
2024,5,2,672.84,634.89
2024,6,2,375.98,288.68
2023,1,1,42.99,43.07
2022,8,3,78.74,24.47
2023,6,2,158.31,203.68
2024,1,1,281.28,518.08
2023,8,3,47.39,41.19
2023,4,2,143.38,46.52
2023,7,3,41.25,82.38
2023,12,4,4727.74,5247.89
2023,7,3,1491.18,1421.95
2022,5,2,215.9,242.22
2024,6,2,37258.23,27184.94
2022,11,4,42.18,42.18
2024,6,2,298.85,235.37
2023,6,2,35.41,323.89
2022,6,2,570.3,288.65
2024,12,4,32.11,36.61
2023,4,2,3733.37,3538.56
2022,4,2,36.05,32.92
2024,7,3,10722.37,12993.77
2023,5,2,22.5,22.5
2024,4,2,27.82,27.41
2023,12,4,2457.66,646.03
2024,4,2,903.24,859.04
2023,7,3,8436.5,8901.22
2022,10,4,4462.58,3867.76
2024,11,4,3074.61,3809.03
2024,10,4,40.82,40.82
2022,8,3,3938.69,5567.0
2022,7,3,189.53,271.73
2023,12,4,7296.13,16048.63
2022,6,2,65.38,24.24
2024,3,1,60.82,68.0
2024,11,4,6889.28,7807.57
2024,1,1,103.42,136.63
2023,11,4,3078.5,3886.43
2024,7,3,3755.3,11143.52
2024,10,4,2616.49,2306.82
2024,4,2,40.7,47.96
2024,10,4,81.05,1043.23
2024,7,3,27.82,27.82
2022,7,3,150.22,176.4
2022,8,3,48.8,84.49
2024,9,3,27.82,27.86
2023,6,2,26567.28,30276.73
2023,12,4,917.59,905.31
2023,10,4,68004.09,64886.55
2023,5,2,32.37,27.36
2024,4,2,55.88,62.03
2024,6,2,211.73,159.74
2024,10,4,142.13,2039.62
2023,9,3,34.97,34.97
2024,7,3,387.35,330.38
2024,7,3,9092.76,6032.15
2022,7,3,24.26,28.0
2022,5,2,31.95,28.12
2022,7,3,1089.09,1088.52
2024,3,1,31.43,30.83
2022,7,3,230.91,1249.73
2022,9,3,586.63,707.14
2023,11,4,30.83,31.41
2024,3,1,31.16,30.83
2024,2,1,8030.24,8757.66
2024,12,4,1460.86,1319.9
2022,6,2,5687.84,6772.21
2022,7,3,24.24,24.24
2024,12,4,956.53,12051.46
2024,11,4,93.95,21016.88
2023,2,1,1869.19,1831.99
2024,11,4,40.87,36.98
2023,10,4,638.25,518.17
2023,6,2,2348.74,3231.53
2023,1,1,68.3,42.18
2024,5,2,32.12,32.12
2022,11,4,242.3,104.56
2024,1,1,72.16,78.37
2023,3,1,1370.72,1269.96
2022,10,4,28.0,28.0
2023,1,1,1332.7,1489.89
2023,6,2,32.39,32.39
2024,7,3,612.13,704.76
2023,11,4,152.85,156.44
2022,8,3,24.26,123.84
2022,10,4,215.85,215.83
2022,4,2,108.73,24.24
2022,6,2,24.24,24.24
2022,8,3,24.24,24.24
2023,12,4,390.34,426.75
2024,6,2,1109.41,857.16
2022,12,4,25.29,213.39
2024,8,3,8158.77,6902.82
2024,3,1,77.17,136.07
2023,12,4,59.76,53.56
2024,12,4,27.82,27.82
2024,4,2,48.48,69.45
2024,11,4,1141.88,560.07
2022,9,3,108.88,78.63
2024,8,3,6180.37,5982.61
2022,7,3,43.2,847.87
2023,10,4,105.18,111.67
2024,12,4,78.72,78.81
2022,10,4,1352.43,1930.92
2024,1,1,72.03,30.83
2023,10,4,1395.17,839.25
2024,10,4,322.32,916.83
2023,9,3,1154.61,757.26
2022,10,4,1751.8,2132.49
2022,7,3,5809.73,6560.55
2024,8,3,521.44,387.16
2024,5,2,624.41,42.01
2024,4,2,11331.34,7082.24
2024,7,3,1893.39,4355.72
2024,12,4,157.73,6054.67
2022,7,3,55.24,55.25
2023,1,1,321.2,113.91
2024,10,4,277.93,190.59
2023,11,4,2524.83,2505.59
2023,6,2,980.36,1189.34
2023,2,1,39.26,31.78
2024,1,1,49535.1,34537.24
2024,8,3,32.15,36.41
2024,4,2,27.87,27.51
2024,5,2,81.49,62.18
2023,6,2,403.73,470.38
2022,9,3,42.2,42.18
2022,5,2,59.96,65.58
2022,4,2,24.24,24.24
2024,12,4,55.98,55.92
2022,5,2,499.3,380.08
2024,1,1,445.23,554.36
2023,7,3,219.13,142.92
2023,9,3,1309.02,1794.89
2022,8,3,1062.87,511.76
2023,11,4,203.54,206.67
2022,8,3,567.94,223.03
2024,7,3,6090.18,3825.02
2023,1,1,2631.24,6131.62
2022,11,4,27.98,24.24
2024,12,4,2734.52,4796.7
2023,7,3,158.5,143.12
2024,4,2,1635.63,4963.28
2023,9,3,295.11,120.36
2023,1,1,667.24,807.63
2023,8,3,8298.95,9420.22
2024,10,4,8312.19,51638.24
2024,3,1,154.78,336.27
2024,12,4,122.06,6849.25
2024,11,4,40.82,40.78
2022,10,4,741.59,590.99
2023,4,2,770.24,660.87
2024,5,2,1041.31,903.24
2023,3,1,1088.41,1029.94
2024,12,4,116.3,505.52
2022,6,2,27.98,24.24
2024,12,4,19373.87,2210.31
2023,5,2,2574.4,2300.33
2024,6,2,17489.99,9321.22
2024,12,4,829.69,244.45
2022,12,4,308.14,372.08
2024,5,2,27.83,31.95
2024,3,1,210.94,888.52
2023,7,3,20.76,20.76
2024,12,4,1589.15,3927.04
2023,10,4,5815.83,4139.1
2024,3,1,39.99,59.77
2023,11,4,53.64,54.66
2024,12,4,32.85,32.23
2024,10,4,32.15,49.32
2023,2,1,42.18,150.31
2022,5,2,84.69,104.2
2024,6,2,107.47,36.43
2024,12,4,3310.07,3925.57
2024,6,2,4733.19,2953.44
2023,1,1,848.08,1149.08
2023,1,1,113.95,114.15
2024,1,1,30.82,26.7
2022,12,4,4058.05,3498.02
2024,3,1,1863.83,1769.32
2024,10,4,350.7,331.48
2022,10,4,24.24,24.24
2023,12,4,372.36,572.69
2024,2,1,34.97,34.97
2022,5,2,55.22,55.27
2024,10,4,2201.48,3075.92
2024,9,3,84.66,914.38
2024,3,1,382.54,318.45
2023,1,1,4253.77,14570.88
2022,5,2,1309.23,808.05
2024,7,3,32.18,32.23
2023,7,3,36.72,125.82
2024,1,1,103.37,26.91
2024,4,2,28.04,447.01
2024,12,4,270.02,202.45
2023,3,1,1371.49,487.82
2023,7,3,314.44,188.64
2022,4,2,24.26,24.26
2022,9,3,136.91,176.3
2024,1,1,350.41,409.52
2022,12,4,136.98,163.2
2023,5,2,1165.04,874.55
2024,8,3,27.86,27.82
2022,4,2,24.24,24.24
2022,7,3,14983.91,13785.56
2023,3,1,119.2,104.01
2023,4,2,4502.55,4554.25
2023,2,1,114.04,123.8
2023,9,3,7742.05,8322.3
2023,3,1,26.65,24.24
2024,5,2,387.49,291.76
2023,3,1,369.39,28.02
2022,5,2,17.94,17.94
2023,7,3,6254.58,5762.55
2023,6,2,188.74,203.86
2024,10,4,63.6,78.53
2022,11,4,149.81,123.69
2022,4,2,1710.78,1470.41
2023,4,2,316.72,284.77
2024,6,2,1133.71,1225.92
2024,7,3,1545.15,78.99
2024,3,1,1041.54,845.58
2022,8,3,255.73,229.11
2024,8,3,159.77,189.9
2024,7,3,20.59,20.59
2024,2,1,1265.43,1486.21
2022,4,2,3252.92,42.18
2024,1,1,182.26,27.09
2022,12,4,305.03,470.57
2024,6,2,1224.47,1018.13
2024,6,2,48.41,48.41
2022,6,2,486.85,163.24
2024,2,1,46.46,46.46
2023,5,2,80.7,1328.79
2022,8,3,48.73,42.25
2023,3,1,1736.7,7195.04
2024,12,4,1266.62,58.21
2022,10,4,4343.14,3319.67
2023,12,4,690.21,734.29
2024,9,3,260.42,213.05
2023,5,2,20.76,20.76
2022,6,2,176.4,136.96
2023,4,2,36.7,33.5
2024,2,1,2525.84,4519.72
2024,8,3,3696.89,3460.06
2023,9,3,161.63,161.67
2024,11,4,2304.28,56.62
2022,7,3,42.22,61.71
2023,1,1,24.24,24.24
2022,10,4,252.75,327.39
2024,7,3,1939.68,1847.9
2023,10,4,28.09,72.15
2024,3,1,3838.69,3232.1
2023,8,3,26.7,32.39
2024,10,4,8378.12,11379.47
2023,1,1,5522.13,5025.67
2024,3,1,6483.57,1466.27
2022,10,4,2534.94,4104.25
2022,12,4,503.98,437.81
2023,6,2,97.89,109.17
2023,2,1,113.97,123.78
2023,6,2,9553.9,7730.55
2024,6,2,1751.0,1499.86
2024,4,2,1459.44,1611.0
2022,7,3,25.46,24.24
2024,6,2,55.79,45.06
2024,1,1,30.83,30.83
2023,4,2,8096.79,7410.09
2023,9,3,1507.97,1397.14
2024,12,4,922.17,1117.93
2022,6,2,355.1,487.24
2024,9,3,501.56,3763.9
2024,2,1,1264.52,937.17
2022,9,3,1128.71,1329.23
2024,2,1,53.57,59.76
2024,8,3,48.46,55.88
2024,5,2,764.98,877.77
2024,11,4,355.12,161.58
2023,8,3,53.67,63.88
2023,6,2,602.1,817.9
2024,7,3,1592.97,1270.51
2023,2,1,2433.78,2173.26
2023,3,1,30.58,27.98
2022,4,2,1312.2,2033.59
2024,4,2,1499.98,1862.88
2024,9,3,653.19,587.09
2024,4,2,967.05,1057.23
2024,6,2,48.47,56.18
2024,6,2,903.27,834.5
2024,5,2,70.85,141.01
2024,12,4,124.78,212.46
2022,6,2,24.24,24.24
2022,6,2,28.0,24.24
2023,11,4,75.16,76.65
2023,9,3,100.2,88.61
2022,11,4,305.35,487.37
2023,8,3,1109.56,582.69
2023,2,1,706.97,686.97
2023,12,4,3408.12,2923.13
2024,9,3,865.07,2937.35
2024,5,2,2559.53,5845.08
2024,3,1,429.32,486.81
2022,5,2,24.24,24.24
2024,4,2,1867.43,3344.3
2024,3,1,4568.07,4209.68
2024,7,3,119.61,78.31
2023,3,1,25.89,59.77
2022,12,4,48.68,48.68
2023,3,1,94.48,1408.47
2022,9,3,31.72,24.24
2023,7,3,1026.35,49.6
2023,4,2,129.3,123.88
2023,7,3,145.79,134.91
2024,1,1,45.51,160.91
2022,4,2,65.75,139.23
2024,3,1,972.17,804.15
2022,12,4,1209.17,1329.18
2024,11,4,69.06,2356.42
2022,7,3,71.0,24.24
2023,8,3,778.56,816.82
2022,8,3,189.59,189.5
2023,3,1,291.83,1253.7
2023,4,2,62.82,60.81
2023,4,2,86.53,145.01
2024,10,4,36.49,36.4
2023,7,3,49.72,640.3
2023,9,3,30.83,32.38
2023,10,4,2405.47,3010.79
2023,10,4,2975.51,3011.07
2023,11,4,136.69,121.44
2022,11,4,116.65,116.64
2023,6,2,1932.38,2140.56
2024,3,1,52579.75,53615.87
2022,11,4,631.56,645.99
2023,1,1,27.98,24.24
2024,2,1,2017.21,2215.32
2024,11,4,4718.29,2892.5
2024,10,4,386.91,41.43
2023,8,3,75.27,71.56
2022,12,4,55.24,55.28
2022,5,2,48.78,55.27
2023,8,3,48.85,63.9
2023,1,1,288.4,215.89
2024,1,1,125.45,103.8
2023,6,2,956.77,544.44
2023,10,4,533.58,536.62
2024,12,4,62.54,49.46
2023,3,1,989.71,71.01
2022,11,4,1792.94,5543.97
2023,4,2,1292.43,355.85
2024,12,4,2295.39,2420.16
2024,7,3,81.53,40.7
2022,7,3,1329.63,1750.91
2022,10,4,706.85,646.61
2024,9,3,56.14,48.41
2024,2,1,50.12,39.12
2023,8,3,53.64,56.35
2024,5,2,425.81,202.58
2024,12,4,55.98,55.92
2022,6,2,255.2,229.0
2023,3,1,713.35,2572.02
2022,8,3,71.17,65.59
2022,11,4,1108.42,1811.42
2023,7,3,235.51,41.07
2023,2,1,1575.21,2057.05
2023,9,3,8029.06,7723.99
2024,9,3,521.84,10822.47
2023,7,3,32.39,32.39
2024,9,3,91.89,75.36
2024,5,2,835.09,293.08
2024,12,4,2110.24,2817.98
2024,11,4,1757.88,1990.18
2022,10,4,3337.99,3578.92
2022,9,3,25.3,25.38
2024,8,3,4516.85,12827.08
2022,12,4,499.13,2806.24
2023,7,3,97.8,131.62
2024,6,2,3344.57,2838.27
2023,8,3,165.23,131.92
2023,10,4,79.75,78.21
2023,3,1,29.66,27.98
2022,5,2,4243.75,3795.62
2022,8,3,24.26,28.0
2024,9,3,179.85,82.3
2023,12,4,30.83,30.83
2024,3,1,4091.39,6104.68
2023,11,4,462.93,536.67
2023,3,1,610.05,48.65
2023,7,3,4830.41,4853.4
2024,2,1,10054.56,9589.52
2024,8,3,32.15,32.12
2023,10,4,48.2,43.25
2022,5,2,4289.57,46.12
2024,3,1,285.34,245.6
2023,9,3,538.41,554.4
2023,2,1,586.14,846.9
2024,7,3,6385.92,6333.61
2024,5,2,62.17,27.83
2024,7,3,56.03,78.29
2023,4,2,28.55,198.08
2023,1,1,4223.33,9951.72
2024,6,2,27.82,27.83
2024,1,1,99.82,91.07
2023,10,4,10291.04,8600.69
2024,4,2,424.47,189.02
2022,7,3,3822.76,4483.62
2022,9,3,1491.89,2915.55
2022,8,3,12628.88,26809.07
2022,8,3,48.55,48.67
2022,9,3,1630.61,1745.88
2022,11,4,2272.87,2196.64
2023,11,4,1974.42,2083.1
2023,5,2,1652.7,596.18
2022,11,4,1459.37,3068.28
2023,1,1,9724.28,10872.74
2022,12,4,42.97,1268.61
2023,4,2,141.54,124.01
2024,9,3,27.82,27.93
2023,4,2,20.76,18.32
